rank,gene,mean_rank,mean_resvar,mean_expr,resvar_GSE193677,resvar_IBDome,resvar_GSE165512,resvar_HMP2,rank_GSE193677,rank_IBDome,rank_GSE165512,rank_HMP2
1,APOA4,21909.25,19.963055,4.472453,15.71177,32.32456,11.523657,20.292236,21910.0,21911.0,21906.0,21910.0
2,REG3A,21906.75,17.156595,6.0612755,14.235972,23.096386,11.575111,19.718912,21906.0,21906.0,21907.0,21908.0
3,APOA1,21906.25,18.403572,4.359422,14.453434,29.481333,9.67234,20.007183,21908.0,21909.0,21899.0,21909.0
4,DEFA5,21906.25,16.959793,6.540326,14.072693,22.216532,12.060743,19.489204,21905.0,21903.0,21910.0,21907.0
5,FABP6,21906.0,17.264488,4.5207105,14.485375,24.89539,10.330023,19.347164,21909.0,21907.0,21902.0,21906.0
6,ALDOB,21904.75,16.756823,7.0570455,13.423383,22.523073,11.936512,19.144321,21902.0,21904.0,21908.0,21905.0
7,REG1A,21904.75,16.67316,6.7117467,13.902136,22.99683,12.148539,17.64514,21903.0,21905.0,21911.0,21900.0
8,APOB,21903.5,19.948467,5.2795477,16.75021,32.114944,7.377465,23.551247,21911.0,21910.0,21882.0,21911.0
9,DEFA6,21901.75,15.469255,5.481172,13.375163,19.990294,10.34984,18.16173,21901.0,21901.0,21903.0,21902.0
10,CEACAM7,21898.0,15.645373,6.399368,10.944486,25.46576,7.457265,18.713985,21894.0,21908.0,21887.0,21903.0
11,AQP8,21895.75,13.875926,4.3793535,12.271915,19.450249,7.409924,16.371616,21900.0,21900.0,21884.0,21899.0
12,REG1B,21892.75,12.544599,4.1556473,10.1700735,16.949999,7.4374175,15.620907,21891.0,21897.0,21886.0,21897.0
13,APOC3,21889.5,12.067198,2.9641173,10.125427,16.141777,6.705797,15.295792,21890.0,21895.0,21878.0,21895.0
14,RBP2,21888.25,11.98701,3.8928561,9.206777,15.748104,10.033081,12.960078,21878.0,21893.0,21901.0,21881.0
15,RPS4Y1,21888.0,11.530649,3.7377458,10.050666,11.086567,11.98037,13.0049925,21887.0,21873.0,21909.0,21883.0
16,DPEP1,21876.75,12.21245,4.455634,11.545156,16.836706,5.0252767,15.442662,21895.0,21896.0,21820.0,21896.0
17,CA1,21876.25,12.414368,5.658664,8.452176,18.187813,5.242407,17.775078,21872.0,21899.0,21833.0,21901.0
18,MTTP,21874.75,14.911285,3.7656732,14.239896,21.967533,4.5021043,18.935608,21907.0,21902.0,21786.0,21904.0
19,XIST,21873.75,9.636345,4.0557003,13.928509,8.814297,6.599107,9.203468,21904.0,21855.0,21876.0,21860.0
20,GSTA1,21872.0,9.216925,4.4619217,7.970838,11.733578,7.172446,9.990835,21868.0,21874.0,21880.0,21866.0
21,CYP3A4,21870.25,10.895675,4.268093,10.569647,14.909145,4.954545,13.149362,21893.0,21888.0,21816.0,21884.0
22,SLC6A19,21868.0,9.640226,4.8051453,9.52249,13.401886,5.359256,10.277273,21883.0,21882.0,21840.0,21867.0
23,MGAM,21866.25,11.491838,4.568893,11.613346,15.514587,4.5254784,14.313943,21896.0,21891.0,21788.0,21890.0
24,CA2,21866.0,10.917153,6.4093637,9.45346,15.958672,4.7413993,13.515081,21881.0,21894.0,21802.0,21887.0
25,CD177,21863.75,10.715933,4.7352366,9.242883,15.267158,4.6667595,13.6869335,21880.0,21890.0,21797.0,21888.0
26,CCL25,21863.5,9.2843,2.7738557,7.3656654,13.167827,5.27889,11.324814,21865.0,21880.0,21835.0,21874.0
27,MUC5B,21863.5,8.170754,4.695805,6.209805,10.494045,8.087806,7.8913627,21847.0,21868.0,21891.0,21848.0
28,UGT2B17,21858.5,7.7806954,7.2179146,6.70948,10.003383,7.4335766,6.9763436,21858.0,21864.0,21885.0,21827.0
29,ENPEP,21853.5,12.315472,4.590293,12.081835,17.134481,3.7152739,16.330296,21899.0,21898.0,21719.0,21898.0
30,MEP1B,21850.75,9.3393955,4.905781,9.598728,10.252764,4.2716155,13.234474,21885.0,21866.0,21767.0,21885.0
31,CPS1,21848.75,11.228491,3.8709764,11.654783,14.865496,3.7056975,14.687984,21897.0,21887.0,21718.0,21893.0
32,MS4A12,21845.25,10.132962,4.154736,8.836094,14.373851,3.8852906,13.436612,21876.0,21885.0,21734.0,21886.0
33,IGHG3,21845.25,7.543652,6.239497,5.751721,8.493767,10.554668,5.374452,21839.0,21850.0,21905.0,21787.0
